Arm1_Actual_J1_rad,Arm1_Actual_J2_rad,Arm1_Actual_J3_rad,Arm1_Actual_J4_rad,Arm1_Solved_J1_rad,Arm1_Solved_J2_rad,Arm1_Solved_J3_rad,Arm1_Solved_J4_rad,Arm1_JointErr_J1_rad,Arm1_JointErr_J2_rad,Arm1_JointErr_J3_rad,Arm1_JointErr_J4_rad,Arm1_JointErr_J1_deg,Arm1_JointErr_J2_deg,Arm1_JointErr_J3_deg,Arm1_JointErr_J4_deg,Arm1_Target_X_m,Arm1_Target_Y_m,Arm1_Target_Z_m,Arm1_Calc_X_m,Arm1_Calc_Y_m,Arm1_Calc_Z_m,Arm1_PosErr_X_m,Arm1_PosErr_Y_m,Arm1_PosErr_Z_m,Arm1_Total_Pos_Error_m,Arm1_Converged,Arm2_Actual_J1_rad,Arm2_Actual_J2_rad,Arm2_Actual_J3_rad,Arm2_Actual_J4_rad,Arm2_Solved_J1_rad,Arm2_Solved_J2_rad,Arm2_Solved_J3_rad,Arm2_Solved_J4_rad,Arm2_JointErr_J1_rad,Arm2_JointErr_J2_rad,Arm2_JointErr_J3_rad,Arm2_JointErr_J4_rad,Arm2_JointErr_J1_deg,Arm2_JointErr_J2_deg,Arm2_JointErr_J3_deg,Arm2_JointErr_J4_deg,Arm2_Target_X_m,Arm2_Target_Y_m,Arm2_Target_Z_m,Arm2_Calc_X_m,Arm2_Calc_Y_m,Arm2_Calc_Z_m,Arm2_PosErr_X_m,Arm2_PosErr_Y_m,Arm2_PosErr_Z_m,Arm2_Total_Pos_Error_m,Arm2_Converged
-0.072905,0,0,0,-0.0729086744736759,-3.00010945824789e-07,2.94220060924842e-07,0.0258989184377619,-3.6744736758576e-06,-3.00010945824789e-07,2.94220060924842e-07,0.0258989184377619,-0.000210531833558562,-1.71893610034884e-05,1.68575677390754e-05,1.48389872043731,0.55454,0.0281,0.14913,0.554536458039882,0.0280998439943072,0.149129741005185,-3.54196011764785e-06,-1.56005692839717e-07,-2.58994814844593e-07,3.55484142618524e-06,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
0.18602,0,0,0,0.144784821949041,-4.95948860321399e-05,0.0908519076300741,-0.0537485674653131,-0.041235178050959,-4.95948860321399e-05,0.0908519076300741,-0.0537485674653131,-2.36260166979044,-0.00284157765507394,5.20543086791564,-3.07956607063661,0.5465,0.0281,0.0071101,0.545944265493327,0.028074261765999,0.00722059173646037,-0.000555734506673011,-2.57382340010312e-05,0.00011049173646037,0.000567196370248096,0,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-1.7317,0,0,0,-1.73165349923882,-1.65965785505933e-07,-5.34809680773853e-07,1.50585083310723,4.65007611780699e-05,-1.65965785505933e-07,-5.34809680773853e-07,1.50585083310723,0.00266429735964919,-9.50913905306343e-06,-3.06423375510806e-05,86.2788973133034,-0.083135,0.0281,0.65279,-0.0831346851198328,0.0280999136977912,0.652788060287285,3.14880167232023e-07,-8.63022087925491e-08,-1.9397127151155e-06,1.96699847690315e-06,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-1.7397,0,0,0,-1.7397445987372,-3.08365757669812e-07,3.11721055504755e-07,2.17466862435814,-4.45987371999745e-05,-3.08365757669812e-07,3.11721055504755e-07,2.17466862435814,-0.00255531941317164,-1.76680564608341e-05,1.78603008657857e-05,124.599334015242,-0.087532,0.0281,0.65206,-0.0875313841762391,0.0280998396498049,0.65205639155803,6.15823760929946e-07,-1.60350195090725e-07,-3.60844197033749e-06,3.66412398028297e-06,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-1.7236,0,0,0,-1.72702366229648,-2.44041598066747e-10,0.00762022511689521,-0.127865642682958,-0.00342366229648206,-2.44041598066747e-10,0.00762022511689521,-0.127865642682958,-0.196161400066489,-1.39825535948526e-08,0.43660673813768,-7.32616167046135,-0.078733,0.0281,0.65348,-0.0787329993932268,0.0280999998731001,0.653479999712963,6.06773242761705e-10,-1.26899876023989e-10,-2.87036505675076e-10,6.83130516268023e-10,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-1.4889,0,0,0,-1.49242232815061,-1.19828492934649e-09,0.00773798403873179,0.815938582522281,-0.00352232815061337,-1.19828492934649e-09,0.00773798403873179,0.815938582522281,-0.201814537090267,-6.86566691056859e-08,0.443353827358927,46.7498371204135,0.05016,0.0281,0.65805,0.0501600003833396,0.0280999993769008,0.658049999741432,3.83339644749459e-10,-6.23099214586142e-10,-2.5856783381073e-10,7.75924763837372e-10,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-1.497,0,0,0,-1.49553189311112,5.11979588856348e-10,-0.00324095160426672,0.959167312727277,0.00146810688887977,5.11979588856348e-10,-0.00324095160426672,0.959167312727277,0.0841163286068927,2.93342696383118e-08,-0.185692848530636,54.9562388661777,0.045716,0.0281,0.6584,0.0457159998790308,0.0281000002662287,0.658400000360176,-1.2096924850713e-10,2.66228698808657e-10,3.60176111158239e-10,4.63937614559116e-10,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-1.497,0,0,0,-1.49553189311112,5.11979588856348e-10,-0.00324095160426672,0.959167312727277,0.00146810688887977,5.11979588856348e-10,-0.00324095160426672,0.959167312727277,0.0841163286068927,2.93342696383118e-08,-0.185692848530636,54.9562388661777,0.045716,0.0281,0.6584,0.0457159998790308,0.0281000002662287,0.658400000360176,-1.2096924850713e-10,2.66228698808657e-10,3.60176111158239e-10,4.63937614559116e-10,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-1.5213,0,0,0,-1.52503628102731,7.03949451016118e-10,0.00828468884546477,0.674445946235391,-0.00373628102731183,7.03949451016118e-10,0.00828468884546477,0.674445946235391,-0.214073133939771,4.03333325337749e-08,0.474677705424242,38.6429062289951,0.032369,0.0281,0.65922,0.0323690001600792,0.0281000003660477,0.659220000085245,1.6007923459016e-10,3.66047657462953e-10,8.52448112098614e-11,4.08513067990844e-10,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-1.5213,-8.1555e-05,0,0,-1.52127768146583,-8.10596880238601e-05,2.54317677587363e-07,2.76119039194815,2.23185341734489e-05,4.95311976139951e-07,2.54317677587363e-07,2.76119039194815,0.00127875781305712,2.83792857751037e-05,1.45713295813247e-05,158.204555890702,0.032369,0.028058,0.65923,0.0323688291851951,0.0280578488873681,0.659226549141032,-1.70814804946462e-07,-1.51112631935346e-07,-3.45085896780173e-06,3.45838695648375e-06,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
