Actual_J1_rad,Actual_J2_rad,Actual_J3_rad,Actual_J4_rad,Solved_J1_rad,Solved_J2_rad,Solved_J3_rad,Solved_J4_rad,JointErr_J1_rad,JointErr_J2_rad,JointErr_J3_rad,JointErr_J4_rad,JointErr_J1_deg,JointErr_J2_deg,JointErr_J3_deg,JointErr_J4_deg,Target_X_m,Target_Y_m,Target_Z_m,Calc_X_m,Calc_Y_m,Calc_Z_m,PosErr_X_m,PosErr_Y_m,PosErr_Z_m,Total_Pos_Error_m,Converged
-0.76999,-0.84639,0,0,-0.769994273821886,-0.846380967707733,2.35042473892614e-05,0.000100450593773267,-4.27382188594727e-06,9.03229226745239e-06,2.35042473892614e-05,0.000100450593773267,-0.000244871956455421,0.000517512226253671,0.00134669417603606,0.00575539507279129,0.28694,-0.36901,0.38228,0.286941188818538,-0.369011726665916,0.38228115809915,1.18881853844455e-06,-1.72666591619075e-06,1.15809914974507e-06,2.39496520728894e-06,1
-0.76999,-0.85814,0,0,-0.769999643556111,-0.858144835908731,2.18072695869113e-05,0.000108596749785313,-9.64355611077217e-06,-4.83590873090467e-06,2.18072695869113e-05,0.000108596749785313,-0.00055253506464484,-0.000277077160391304,0.00124946451003401,0.00622213543153665,0.28376,-0.37324,0.3792,0.283760316928299,-0.373240454346574,0.379200296863098,3.16928298882413e-07,-4.54346573530717e-07,2.96863098492306e-07,6.2849188917444e-07,1
-0.76999,-0.85814,0,0,-0.769999643556111,-0.858144835908731,2.18072695869113e-05,0.000108596749785313,-9.64355611077217e-06,-4.83590873090467e-06,2.18072695869113e-05,0.000108596749785313,-0.00055253506464484,-0.000277077160391304,0.00124946451003401,0.00622213543153665,0.28376,-0.37324,0.3792,0.283760316928299,-0.373240454346574,0.379200296863098,3.16928298882413e-07,-4.54346573530717e-07,2.96863098492306e-07,6.2849188917444e-07,1
-0.76999,-0.6113,0,0,-0.770007073081805,-0.61130972886058,4.036836585708e-05,6.18147082177949e-05,-1.70730818054299e-05,-9.7288605800383e-06,4.036836585708e-05,6.18147082177949e-05,-0.000978215530732728,-0.000557422650707393,0.0023129369894507,0.0035417218927123,0.34239,-0.27448,0.43605,0.34238796806395,-0.274478200222323,0.436048031185934,-2.03193604958463e-06,1.79977767672534e-06,-1.9688140658336e-06,3.35323614156007e-06,1
-0.76999,-0.6113,-0.017714,0,-0.76970566125601,-0.611299984634504,-0.0182613453875195,-0.000686547050726498,0.000284338743989476,1.53654962087302e-08,-0.000547345387519535,-0.000686547050726498,0.0162914099826478,8.80378082884507e-07,-0.0313605806408219,-0.0393362484437824,0.33928,-0.27445,0.43921,0.339280000673224,-0.274449999987922,0.439210000003682,6.73223754521501e-10,1.20782828183508e-11,3.68155506080825e-12,6.73342158501555e-10,1
-0.76999,-0.6113,-0.17052,0,-0.769995752746187,-0.611291590460034,-0.170490130905133,6.03596812955696e-05,-5.75274618741517e-06,8.40953996605887e-06,2.98690948665192e-05,6.03596812955696e-05,-0.000329608077148865,0.000481831147701763,0.00171137307372742,0.00345835499099087,0.31073,-0.27239,0.46444,0.310730001529691,-0.272390006508996,0.464440015855435,1.5296907074358e-09,-6.50899556475792e-09,1.58554354645624e-08,1.72076090928797e-08,1
-0.76999,-0.6113,-1.1109,0,-0.769962764786624,-0.611307980713181,-1.11089344986181,0.000106688677223444,2.72352133763309e-05,-7.98071318097726e-06,6.55013818673389e-06,0.000106688677223444,0.00156046278060201,-0.000457261182774423,0.000375295273327326,0.00611281092673688,0.10471,-0.19468,0.51762,0.104709979504155,-0.194679971349408,0.517620010379175,-2.04958449517845e-08,2.86505923985381e-08,1.0379174963937e-08,3.67241525158413e-08,1
-0.76999,-0.6113,-1.6751,0,-0.769991442306506,-0.611303399879637,-1.6750496955403,9.43905197634987e-05,-1.44230650600541e-06,-3.39987963726696e-06,5.03044597044422e-05,9.43905197634987e-05,-8.263807555837e-05,-0.000194798754067866,0.00288223323175045,0.00540817840849466,0.0070294,-0.11606,0.45721,0.00702939664954735,-0.116060007036333,0.457209992973473,-3.35045264882733e-09,-7.03633300236373e-09,-7.02652708239881e-09,1.04932167571184e-08,1
-0.76999,-0.6113,0.24088,0,-0.770025710433244,-0.611302070923057,0.240945402029792,0.000104589420640557,-3.57104332435743e-05,-2.0709230571514e-06,6.54020297920221e-05,0.000104589420640557,-0.00204605710944048,-0.000118655150871105,0.00374726027867174,0.00599253238442237,0.37966,-0.27033,0.38912,0.379660003618243,-0.270330003393748,0.389120002216241,3.61824270544986e-09,-3.39374789382063e-09,2.21624052443303e-09,5.43331640018252e-09,1
-0.76999,-0.6113,0.99315,0,-0.770011754933905,-0.61130870065205,0.993177462006544,9.56545507535654e-05,-2.17549339047718e-05,-8.70065204972015e-06,2.74620065441322e-05,9.56545507535654e-05,-0.00124646589632948,-0.000498510641460813,0.00157345707193942,0.00548060204939922,0.42146,-0.20934,0.221,0.421460000436662,-0.209339997997605,0.22100000596746,4.36661928837623e-10,2.00239538838964e-09,5.96746035919082e-09,6.30958351003093e-09,1
